rgt,lowest_tide_cycle,num_cycles,tide_location
10,12,8,E
34,12,11,E
56,12,6,W
71,12,8,E
95,15,7,E
117,15,6,W
132,15,8,E
156,15,8,C
178,9,10,W
193,9,6,C
217,3,6,C
239,14,3,W
254,12,7,C
278,6,6,C
315,9,7,C
339,7,7,W
354,7,6,E
376,9,6,C
391,7,7,E
400,9,9,W
415,7,11,E
437,12,8,C
452,12,8,E
461,12,7,W
476,12,7,E
498,8,6,W
513,8,8,E
537,4,6,E
559,9,7,W
574,11,8,E
598,7,5,C
620,6,9,W
635,9,6,E
659,4,4,C
681,12,5,W
696,6,5,C
720,6,7,C
757,3,8,C
781,9,7,W
796,9,8,E
818,3,5,C
842,3,7,W
857,12,6,E
879,12,10,C
894,14,11,E
903,6,11,W
918,6,7,E
940,8,10,W
955,8,7,E
979,6,9,E
1001,11,8,W
1016,11,9,E
1040,3,8,E
1062,8,8,W
1077,8,6,E
1101,14,10,C
1123,8,8,W
1138,6,7,C
1162,14,8,C
1184,11,7,W
1199,11,8,C
1223,3,8,W
1260,11,5,C
1284,3,5,W
1299,3,8,E
1321,8,7,C
1336,12,3,E
1360,6,10,E
1382,8,9,C
